State,Year,Quarter,RegisteredUsers,AppOpens
andhra-pradesh,2021,4,22489029,1447717601
andhra-pradesh,2022,1,23857951,1254785973
andhra-pradesh,2022,2,25157264,1378736856
andhra-pradesh,2022,3,26496330,1357005703
andhra-pradesh,2022,4,27778016,1673374802
andhra-pradesh,2023,1,29065863,1442038420
andhra-pradesh,2023,2,30240061,1427952434
andhra-pradesh,2023,3,31493897,1157440497
andhra-pradesh,2023,4,32658698,1310002959
andhra-pradesh,2024,1,34008709,1080185103
andhra-pradesh,2024,2,35303719,1061281082
andhra-pradesh,2024,3,29145303,1660426436
andhra-pradesh,2024,4,29984431,1866359979
arunachal-pradesh,2018,1,21495,0
arunachal-pradesh,2018,2,32883,0
arunachal-pradesh,2018,3,45922,0
arunachal-pradesh,2018,4,61852,0
arunachal-pradesh,2019,1,76957,0
arunachal-pradesh,2019,2,95885,502873
arunachal-pradesh,2019,3,112149,1811700
arunachal-pradesh,2019,4,129321,2140340
arunachal-pradesh,2020,1,149066,2598321
arunachal-pradesh,2020,2,177534,3387006
arunachal-pradesh,2020,3,206046,4003421
arunachal-pradesh,2020,4,231292,4472667
arunachal-pradesh,2021,1,251240,4796708
arunachal-pradesh,2021,2,270572,13025849
arunachal-pradesh,2021,3,293073,17209654
arunachal-pradesh,2021,4,314944,11230295
arunachal-pradesh,2022,1,335339,41418559
arunachal-pradesh,2022,2,354528,49889518
arunachal-pradesh,2022,3,373372,59722628
arunachal-pradesh,2022,4,390307,21775038
arunachal-pradesh,2023,1,408273,88997458
arunachal-pradesh,2023,2,426410,106089520
arunachal-pradesh,2023,3,444789,112236680
arunachal-pradesh,2023,4,462088,38873546
arunachal-pradesh,2024,1,482393,143597043
arunachal-pradesh,2024,2,500669,132013837
arunachal-pradesh,2024,3,687168,210856966
arunachal-pradesh,2024,4,710879,46627582
assam,2018,1,385237,0
assam,2018,2,571046,0
assam,2018,3,784802,0
assam,2018,4,1039221,0
assam,2019,1,1259085,0
assam,2019,2,1500128,7350326
assam,2019,3,1731523,25393673
assam,2019,4,1941220,26599449
assam,2020,1,2185938,33097892
assam,2020,2,2550883,39304924
assam,2020,3,2830011,41875278
assam,2020,4,3106153,49321814
assam,2021,1,3358448,56752364
assam,2021,2,3617056,102003890
assam,2021,3,3918480,135288631
assam,2021,4,4209591,130600435
assam,2022,1,4492589,281642453
assam,2022,2,4755787,339929089
assam,2022,3,5016910,410760707
assam,2022,4,5247776,248781157
assam,2023,1,5499650,590176321
assam,2023,2,5749682,657069673
assam,2023,3,5998586,962849913
assam,2023,4,6234780,558041955
assam,2024,1,6510156,1381009332
assam,2024,2,6767874,1728273868
assam,2024,3,10098778,855216106
assam,2024,4,10480927,775169459
bihar,2018,1,2133804,0
bihar,2018,2,3005872,0
bihar,2018,3,3784535,0
bihar,2018,4,4776665,0
bihar,2019,1,5745117,0
bihar,2019,2,6589759,39607022
bihar,2019,3,7380265,126521298
bihar,2019,4,8342274,163998097
bihar,2020,1,9351234,183868505
bihar,2020,2,10603767,218435035
bihar,2020,3,11763213,266652644
bihar,2020,4,12889833,317056600
bihar,2021,1,13946288,355792608
bihar,2021,2,14972134,371198660
bihar,2021,3,16160771,421801379
bihar,2021,4,17335981,647400838
bihar,2022,1,18484658,316991599
bihar,2022,2,19569894,348588438
bihar,2022,3,20694376,336807385
bihar,2022,4,21738117,834827202
bihar,2023,1,22796011,455886560
bihar,2023,2,23781971,556071386
bihar,2023,3,24776510,623923391
bihar,2023,4,25695856,1822737403
bihar,2024,1,26765201,945228349
bihar,2024,2,27786576,1034146507
bihar,2024,3,31899315,692875087
bihar,2024,4,33345285,2527843258
chandigarh,2018,1,86268,0
chandigarh,2018,2,115219,0
chandigarh,2018,3,143893,0
chandigarh,2018,4,177747,0
chandigarh,2019,1,209175,0
chandigarh,2019,2,240439,1220176
chandigarh,2019,3,267337,4625196
chandigarh,2019,4,289590,4960441
chandigarh,2020,1,312887,5201211
chandigarh,2020,2,336351,3451250
chandigarh,2020,3,362588,4888739
chandigarh,2020,4,391402,6477974
chandigarh,2021,1,419998,7919533
chandigarh,2021,2,448572,4733924
chandigarh,2021,3,480463,6378807
chandigarh,2021,4,512092,11603954
chandigarh,2022,1,541549,2321685
chandigarh,2022,2,569582,2285979
chandigarh,2022,3,598698,2173356
chandigarh,2022,4,627563,15308862
chandigarh,2023,1,654522,2001065
chandigarh,2023,2,678662,1978988
chandigarh,2023,3,704144,1924922
chandigarh,2023,4,727594,35719991
chandigarh,2024,1,754849,2680802
chandigarh,2024,2,782791,3351127
chandigarh,2024,3,700398,3757821
chandigarh,2024,4,721216,37265017
chhattisgarh,2018,1,679263,0
chhattisgarh,2018,2,950675,0
chhattisgarh,2018,3,1217792,0
chhattisgarh,2018,4,1579998,0
chhattisgarh,2019,1,1908898,0
chhattisgarh,2019,2,2191066,13206373
chhattisgarh,2019,3,2435058,46362341
chhattisgarh,2019,4,2725900,57278977
chhattisgarh,2020,1,3016487,64224101
chhattisgarh,2020,2,3401658,68493384
chhattisgarh,2020,3,3799386,86918606
chhattisgarh,2020,4,4190601,109900467
chhattisgarh,2021,1,4514551,124648704
chhattisgarh,2021,2,4837055,205784717
chhattisgarh,2021,3,5206084,276486076
chhattisgarh,2021,4,5565481,251752583
chhattisgarh,2022,1,5916961,448503438
chhattisgarh,2022,2,6238349,501411120
chhattisgarh,2022,3,6562237,543206487
chhattisgarh,2022,4,6846822,354976814
chhattisgarh,2023,1,7159660,678798431
chhattisgarh,2023,2,7469508,749111705
chhattisgarh,2023,3,7779977,951586898
chhattisgarh,2023,4,8057016,545124233
chhattisgarh,2024,1,8394140,1290951432
chhattisgarh,2024,2,8704757,1483224382
chhattisgarh,2024,3,10290502,1469220234
chhattisgarh,2024,4,10651135,869239311
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,53258,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,71458,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,92107,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,116511,0
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,140532,0
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,158580,860686
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,176929,3126189
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,197598,3770543
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,218496,4195122
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,244814,4505127
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,267946,4421499
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,296493,6196436
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,321396,7302462
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,344994,5062983
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,371874,7162734
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,398963,15009455
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,424570,3910792
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,449016,3886292
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,474807,3837881
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,500125,24066770
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,524617,4471284
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,546364,4086025
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,569035,4449513
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,590760,36579378
dadra-&-nagar-haveli-&-daman-&-diu,2024,1,615863,5967100
dadra-&-nagar-haveli-&-daman-&-diu,2024,2,640724,7489619
dadra-&-nagar-haveli-&-daman-&-diu,2024,3,627815,5429299
dadra-&-nagar-haveli-&-daman-&-diu,2024,4,644550,41947714
delhi,2018,1,2087022,0
delhi,2018,2,2756141,0
delhi,2018,3,3504911,0
delhi,2018,4,4630313,0
delhi,2019,1,5499263,0
delhi,2019,2,6165448,43731570
delhi,2019,3,6782286,163381027
delhi,2019,4,7289883,172682671
delhi,2020,1,7826197,178263986
delhi,2020,2,8391139,142852253
delhi,2020,3,9044174,190025029
delhi,2020,4,9747968,243433752
delhi,2021,1,10467210,281201600
delhi,2021,2,11182699,164997774
delhi,2021,3,11980061,223844376
delhi,2021,4,12785127,345669353
delhi,2022,1,13539197,57524153
delhi,2022,2,14260143,52553080
delhi,2022,3,15009523,49919498
delhi,2022,4,15764149,401864749
delhi,2023,1,16480011,51049789
delhi,2023,2,17103089,51415039
delhi,2023,3,17747167,49593289
delhi,2023,4,18363626,738806624
delhi,2024,1,19067147,80302941
delhi,2024,2,19789096,99756459
delhi,2024,3,18444617,111680825
delhi,2024,4,18900488,952556492
goa,2018,1,91936,0
goa,2018,2,122174,0
goa,2018,3,153802,0
goa,2018,4,195350,0
goa,2019,1,238152,0
goa,2019,2,278940,1352232
goa,2019,3,317194,4753892
goa,2019,4,353546,6290543
goa,2020,1,391900,7147233
goa,2020,2,430639,5310126
goa,2020,3,474962,6129766
goa,2020,4,527584,10991118
goa,2021,1,570035,15467672
goa,2021,2,609106,12710361
goa,2021,3,653458,16575111
goa,2021,4,697178,28288254
goa,2022,1,738628,18678798
goa,2022,2,777779,19062157
goa,2022,3,817830,19712764
goa,2022,4,855202,43005212
goa,2023,1,892185,22829931
goa,2023,2,926020,20219644
goa,2023,3,961831,24017714
goa,2023,4,995923,64868903
goa,2024,1,1035050,31168316
goa,2024,2,1073516,21359943
goa,2024,3,1114034,49958844
goa,2024,4,1143332,78430745
gujarat,2018,1,2690048,0
gujarat,2018,2,3565825,0
gujarat,2018,3,4433183,0
gujarat,2018,4,5579040,0
gujarat,2019,1,6652536,0
gujarat,2019,2,7574645,34890301
gujarat,2019,3,8429299,129441484
gujarat,2019,4,9323799,147973757
gujarat,2020,1,10259843,165605122
gujarat,2020,2,11392657,155264359
gujarat,2020,3,12467847,184402472
gujarat,2020,4,13605203,230497353
gujarat,2021,1,14670126,264732874
gujarat,2021,2,15735981,282432543
gujarat,2021,3,16946761,379987151
gujarat,2021,4,18139201,487846209
gujarat,2022,1,19265314,521776939
gujarat,2022,2,20321596,609943436
gujarat,2022,3,21394721,699121904
gujarat,2022,4,22412353,790984595
gujarat,2023,1,23436230,918468944
gujarat,2023,2,24396768,1057626015
gujarat,2023,3,25383429,1679035143
gujarat,2023,4,26312655,1950081065
gujarat,2024,1,27381972,2391800188
gujarat,2024,2,28439885,2418997443
gujarat,2024,3,29082108,2873083540
gujarat,2024,4,29861641,2406424143
haryana,2018,1,1847357,0
haryana,2018,2,2447221,0
haryana,2018,3,3020398,0
haryana,2018,4,3793079,0
haryana,2019,1,4538767,0
haryana,2019,2,5178030,31929195
haryana,2019,3,5783752,118332587
haryana,2019,4,6366679,136721888
haryana,2020,1,7018770,157793468
haryana,2020,2,7682878,143650123
haryana,2020,3,8398816,188614769
haryana,2020,4,9129873,236101307
haryana,2021,1,9827905,266686683
haryana,2021,2,10530594,234052506
haryana,2021,3,11325336,296884105
haryana,2021,4,12116439,442176987
haryana,2022,1,12866988,217228467
haryana,2022,2,13576065,236091309
haryana,2022,3,14303933,265475161
haryana,2022,4,14994944,556898878
haryana,2023,1,15688161,264946266
haryana,2023,2,16314236,298037706
haryana,2023,3,16956489,327497074
haryana,2023,4,17556642,904482321
haryana,2024,1,18248263,356852975
haryana,2024,2,18932084,495253484
haryana,2024,3,18527288,701589813
haryana,2024,4,19051114,1381829141
himachal-pradesh,2018,1,227373,0
himachal-pradesh,2018,2,315299,0
himachal-pradesh,2018,3,407634,0
himachal-pradesh,2018,4,526343,0
himachal-pradesh,2019,1,653205,0
himachal-pradesh,2019,2,772603,3321711
himachal-pradesh,2019,3,876184,10720741
himachal-pradesh,2019,4,985945,12637904
himachal-pradesh,2020,1,1106025,14640104
himachal-pradesh,2020,2,1249867,16125580
himachal-pradesh,2020,3,1378634,18411750
himachal-pradesh,2020,4,1508766,22001148
himachal-pradesh,2021,1,1622951,24228094
himachal-pradesh,2021,2,1743151,43269977
himachal-pradesh,2021,3,1880626,52970288
himachal-pradesh,2021,4,2013747,47670982
himachal-pradesh,2022,1,2143483,77278278
himachal-pradesh,2022,2,2264407,102488683
himachal-pradesh,2022,3,2381576,108832538
himachal-pradesh,2022,4,2483076,72355717
himachal-pradesh,2023,1,2594668,111702044
himachal-pradesh,2023,2,2706470,136774775
himachal-pradesh,2023,3,2816046,189307777
himachal-pradesh,2023,4,2924952,163694473
himachal-pradesh,2024,1,3050141,231634797
himachal-pradesh,2024,2,3172766,291406931
himachal-pradesh,2024,3,2953068,277032020
himachal-pradesh,2024,4,3040819,168576863
jammu-&-kashmir,2018,1,176425,0
jammu-&-kashmir,2018,2,261609,0
jammu-&-kashmir,2018,3,342529,0
jammu-&-kashmir,2018,4,436563,0
jammu-&-kashmir,2019,1,530669,0
jammu-&-kashmir,2019,2,631193,2705373
jammu-&-kashmir,2019,3,658455,3843919
jammu-&-kashmir,2019,4,673367,998572
jammu-&-kashmir,2020,1,735408,4476894
jammu-&-kashmir,2020,2,845294,9856653
jammu-&-kashmir,2020,3,949819,11443454
jammu-&-kashmir,2020,4,1079022,16018751
jammu-&-kashmir,2021,1,1174818,18834009
jammu-&-kashmir,2021,2,1261267,34274559
jammu-&-kashmir,2021,3,1359860,45025197
jammu-&-kashmir,2021,4,1456810,36012148
jammu-&-kashmir,2022,1,1549320,62115857
jammu-&-kashmir,2022,2,1635570,89986310
jammu-&-kashmir,2022,3,1719185,109346235
jammu-&-kashmir,2022,4,1793434,60205865
jammu-&-kashmir,2023,1,1873039,134828711
jammu-&-kashmir,2023,2,1953132,209249141
jammu-&-kashmir,2023,3,2031447,283204829
jammu-&-kashmir,2023,4,2108166,186302862
jammu-&-kashmir,2024,1,2195803,342579321
jammu-&-kashmir,2024,2,2279903,425109975
jammu-&-kashmir,2024,3,4161840,376570012
jammu-&-kashmir,2024,4,4288583,246569412
jharkhand,2018,1,885762,0
jharkhand,2018,2,1230599,0
jharkhand,2018,3,1532362,0
jharkhand,2018,4,1913949,0
jharkhand,2019,1,2279329,0
jharkhand,2019,2,2604854,14929066
jharkhand,2019,3,2915511,55504460
jharkhand,2019,4,3281371,70181789
jharkhand,2020,1,3651393,74014713
jharkhand,2020,2,4061035,76339276
jharkhand,2020,3,4480027,99318784
jharkhand,2020,4,4917938,126310835
jharkhand,2021,1,5313049,141731331
jharkhand,2021,2,5701503,184234107
jharkhand,2021,3,6151843,230475998
jharkhand,2021,4,6596196,284960009
jharkhand,2022,1,7025275,331355981
jharkhand,2022,2,7426174,379053485
jharkhand,2022,3,7836429,414228860
jharkhand,2022,4,8217638,396098729
jharkhand,2023,1,8609107,585808867
jharkhand,2023,2,8980709,657119942
jharkhand,2023,3,9360730,806517236
jharkhand,2023,4,9707336,658553048
jharkhand,2024,1,10118149,1389086946
jharkhand,2024,2,10501982,1583300137
jharkhand,2024,3,11771265,1330121440
jharkhand,2024,4,12212421,1018664763
karnataka,2018,1,3717763,0
karnataka,2018,2,5030665,0
karnataka,2018,3,6372649,0
karnataka,2018,4,8315802,0
karnataka,2019,1,10266174,0
karnataka,2019,2,11968087,113024811
karnataka,2019,3,13635075,445683660
karnataka,2019,4,15385416,569674870
karnataka,2020,1,17016980,626488036
karnataka,2020,2,18655366,490510075
karnataka,2020,3,20487550,693683212
karnataka,2020,4,22400182,935510690
karnataka,2021,1,24095832,1084917385
karnataka,2021,2,25751023,1051089714
karnataka,2021,3,27614221,1366781087
karnataka,2021,4,29459646,1941558513
karnataka,2022,1,31200349,1727054045
karnataka,2022,2,32831447,2065359837
karnataka,2022,3,34493994,2148016434
karnataka,2022,4,36081698,3011645011
karnataka,2023,1,37681426,2498025288
karnataka,2023,2,39122314,2521576765
karnataka,2023,3,40634390,2284389284
karnataka,2023,4,42031396,2565539566
karnataka,2024,1,43668141,2186015502
karnataka,2024,2,45290606,2195010418
karnataka,2024,3,44548391,2731726058
karnataka,2024,4,45917653,3091599006
kerala,2018,1,784184,0
kerala,2018,2,1066587,0
kerala,2018,3,1347598,0
kerala,2018,4,1757326,0
kerala,2019,1,2136624,0
kerala,2019,2,2550167,8673220
kerala,2019,3,2990963,31471694
kerala,2019,4,3503938,40046033
kerala,2020,1,4078316,46396398
kerala,2020,2,4728844,45832953
kerala,2020,3,5582300,64309022
kerala,2020,4,6387169,91415273
kerala,2021,1,6936943,108918733
kerala,2021,2,7416083,87814415
kerala,2021,3,7949425,116282717
kerala,2021,4,8473810,213542857
kerala,2022,1,8972299,94047893
kerala,2022,2,9442533,98876392
kerala,2022,3,9933977,104565833
kerala,2022,4,10382102,346981849
kerala,2023,1,10822723,116395880
kerala,2023,2,11237341,121310794
kerala,2023,3,11669143,145044427
kerala,2023,4,12084974,747303653
kerala,2024,1,12553296,173276966
kerala,2024,2,13008410,164717612
kerala,2024,3,13271613,127705188
kerala,2024,4,13689387,873737766
ladakh,2018,1,8784,0
ladakh,2018,2,12918,0
ladakh,2018,3,17749,0
ladakh,2018,4,23883,0
ladakh,2019,1,29649,0
ladakh,2019,2,35516,157317
ladakh,2019,3,39173,503126
ladakh,2019,4,43108,470440
ladakh,2020,1,47790,590484
ladakh,2020,2,53034,695673
ladakh,2020,3,58401,1015680
ladakh,2020,4,64853,1232757
ladakh,2021,1,69919,1184204
ladakh,2021,2,75048,4391632
ladakh,2021,3,81210,7099550
ladakh,2021,4,87057,2665203
ladakh,2022,1,92492,8902080
ladakh,2022,2,97517,14768129
ladakh,2022,3,102299,19734781
ladakh,2022,4,106337,3832339
ladakh,2023,1,110991,14522495
ladakh,2023,2,115736,26285520
ladakh,2023,3,120435,42636030
ladakh,2023,4,124828,7108123
ladakh,2024,1,130070,16503075
ladakh,2024,2,134702,41355640
ladakh,2024,3,194146,68575933
ladakh,2024,4,193724,9881580
lakshadweep,2018,1,501,0
lakshadweep,2018,2,686,0
lakshadweep,2018,3,918,0
lakshadweep,2018,4,1156,0
lakshadweep,2019,1,1416,0
lakshadweep,2019,2,1747,4580
lakshadweep,2019,3,2117,15038
lakshadweep,2019,4,2427,17760
lakshadweep,2020,1,2772,21982
lakshadweep,2020,2,3187,29202
lakshadweep,2020,3,3644,32128
lakshadweep,2020,4,4179,41144
lakshadweep,2021,1,4577,47283
lakshadweep,2021,2,4896,40301
lakshadweep,2021,3,5287,49127
lakshadweep,2021,4,5638,67320
lakshadweep,2022,1,5990,45410
lakshadweep,2022,2,6327,38450
lakshadweep,2022,3,6645,18111
lakshadweep,2022,4,6961,72377
lakshadweep,2023,1,7267,43821
lakshadweep,2023,2,7585,90501
lakshadweep,2023,3,7912,294406
lakshadweep,2023,4,8225,924554
lakshadweep,2024,1,8578,645375
lakshadweep,2024,2,8895,683424
lakshadweep,2024,3,11395,28226
lakshadweep,2024,4,11769,1797824
madhya-pradesh,2018,1,2553603,0
madhya-pradesh,2018,2,3441662,0
madhya-pradesh,2018,3,4309309,0
madhya-pradesh,2018,4,5365442,0
madhya-pradesh,2019,1,6414403,0
madhya-pradesh,2019,2,7301172,50642151
madhya-pradesh,2019,3,8180664,192353380
madhya-pradesh,2019,4,9165241,237844976
madhya-pradesh,2020,1,10151371,262452480
madhya-pradesh,2020,2,11374423,253770044
madhya-pradesh,2020,3,12564224,324850994
madhya-pradesh,2020,4,13737947,405571446
madhya-pradesh,2021,1,14839427,482500276
madhya-pradesh,2021,2,15940935,727741649
madhya-pradesh,2021,3,17210233,929572924
madhya-pradesh,2021,4,18456243,956630781
madhya-pradesh,2022,1,19656147,1678266475
madhya-pradesh,2022,2,20766417,1902866132
madhya-pradesh,2022,3,21884220,2026371749
madhya-pradesh,2022,4,22913924,1388282818
madhya-pradesh,2023,1,24002818,2588256407
madhya-pradesh,2023,2,25042930,2945628722
madhya-pradesh,2023,3,26109033,3495164168
madhya-pradesh,2023,4,27078072,1780548760
madhya-pradesh,2024,1,28238554,4395383187
madhya-pradesh,2024,2,29324466,4877924433
madhya-pradesh,2024,3,31764084,5313772854
madhya-pradesh,2024,4,32876660,2492103990
maharashtra,2018,1,6106994,0
maharashtra,2018,2,8222371,0
maharashtra,2018,3,10435033,0
maharashtra,2018,4,13381602,0
maharashtra,2019,1,16284451,0
maharashtra,2019,2,18776975,109967705
maharashtra,2019,3,21313081,439998413
maharashtra,2019,4,23745297,543654112
maharashtra,2020,1,26168390,615146568
maharashtra,2020,2,28765086,506354812
maharashtra,2020,3,31409513,668197101
maharashtra,2020,4,34432631,952006770
maharashtra,2021,1,37077537,1101976484
maharashtra,2021,2,39664697,1208083592
maharashtra,2021,3,42581217,1565370852
maharashtra,2021,4,45482506,2031739248
maharashtra,2022,1,48227630,2157769514
maharashtra,2022,2,50802786,2492946019
maharashtra,2022,3,53432602,2638663712
maharashtra,2022,4,55954028,2982202696
maharashtra,2023,1,58470784,3144152925
maharashtra,2023,2,60766850,3363859330
maharashtra,2023,3,63150997,3152984827
maharashtra,2023,4,65422120,3694003155
maharashtra,2024,1,68016876,3226964743
maharashtra,2024,2,70597223,3406640277
maharashtra,2024,3,69641161,4571320472
maharashtra,2024,4,71807805,5042420660
manipur,2018,1,29925,0
manipur,2018,2,46055,0
manipur,2018,3,61935,0
manipur,2018,4,82589,0
manipur,2019,1,99527,0
manipur,2019,2,117747,464829
manipur,2019,3,136316,1594205
manipur,2019,4,155358,1855488
manipur,2020,1,177374,2175642
manipur,2020,2,215496,3011491
manipur,2020,3,258563,3552375
manipur,2020,4,288772,3783432
manipur,2021,1,312668,3709227
manipur,2021,2,335409,7269002
manipur,2021,3,361749,9743772
manipur,2021,4,387746,7603294
manipur,2022,1,411900,22637747
manipur,2022,2,434563,26236900
manipur,2022,3,457063,26011343
manipur,2022,4,477292,12462732
manipur,2023,1,498337,29419074
manipur,2023,2,519799,14076037
manipur,2023,3,541572,20694295
manipur,2023,4,564130,25551545
manipur,2024,1,589568,59758762
manipur,2024,2,614446,59706780
manipur,2024,3,596237,125520994
manipur,2024,4,616995,32146128
meghalaya,2018,1,18513,0
meghalaya,2018,2,26618,0
meghalaya,2018,3,37281,0
meghalaya,2018,4,49634,0
meghalaya,2019,1,61487,0
meghalaya,2019,2,74746,395764
meghalaya,2019,3,87395,1387814
meghalaya,2019,4,100030,1490542
meghalaya,2020,1,113814,1716211
meghalaya,2020,2,136211,2205253
meghalaya,2020,3,157741,2384534
meghalaya,2020,4,176447,2745917
meghalaya,2021,1,190869,2939026
meghalaya,2021,2,205686,7290804
meghalaya,2021,3,223065,9952956
meghalaya,2021,4,240268,6048594
meghalaya,2022,1,255839,23634106
meghalaya,2022,2,269943,27458992
meghalaya,2022,3,283487,32596135
meghalaya,2022,4,295322,10105924
meghalaya,2023,1,308324,44686919
meghalaya,2023,2,322382,47337234
meghalaya,2023,3,336282,75055865
meghalaya,2023,4,349330,30357626
meghalaya,2024,1,365452,207128767
meghalaya,2024,2,379342,204649032
meghalaya,2024,3,548502,292472944
meghalaya,2024,4,571272,44407767
mizoram,2018,1,7593,0
mizoram,2018,2,10422,0
mizoram,2018,3,14502,0
mizoram,2018,4,19365,0
mizoram,2019,1,23670,0
mizoram,2019,2,28696,133025
mizoram,2019,3,34134,457834
mizoram,2019,4,39809,529168
mizoram,2020,1,46499,644683
mizoram,2020,2,55574,739308
mizoram,2020,3,68315,924865
mizoram,2020,4,78731,1096182
mizoram,2021,1,85750,1193214
mizoram,2021,2,92552,4014597
mizoram,2021,3,100647,5385718
mizoram,2021,4,108405,2094118
mizoram,2022,1,115295,14886657
mizoram,2022,2,121535,16646550
mizoram,2022,3,127735,15557163
mizoram,2022,4,132870,3144551
mizoram,2023,1,138751,24403694
mizoram,2023,2,145061,21868647
mizoram,2023,3,151378,29019443
mizoram,2023,4,157627,9424810
mizoram,2024,1,165126,50294364
mizoram,2024,2,171540,44171046
mizoram,2024,3,224952,109786827
mizoram,2024,4,234527,12467831
nagaland,2018,1,15074,0
nagaland,2018,2,22436,0
nagaland,2018,3,32090,0
nagaland,2018,4,42997,0
nagaland,2019,1,53911,0
nagaland,2019,2,66891,362497
nagaland,2019,3,80077,1244022
nagaland,2019,4,93124,1454551
nagaland,2020,1,107143,1684520
nagaland,2020,2,130205,2119279
nagaland,2020,3,173106,2868642
nagaland,2020,4,192188,2922121
nagaland,2021,1,207808,2980581
nagaland,2021,2,223337,6716892
nagaland,2021,3,241797,8661991
nagaland,2021,4,259990,6383337
nagaland,2022,1,276483,24206053
nagaland,2022,2,292104,28652431
nagaland,2022,3,307386,31229366
nagaland,2022,4,321205,11171582
nagaland,2023,1,335936,35227154
nagaland,2023,2,351024,33612080
nagaland,2023,3,366203,51985056
nagaland,2023,4,381162,20169002
nagaland,2024,1,398630,46485081
nagaland,2024,2,414876,60494356
nagaland,2024,3,446969,73710120
nagaland,2024,4,463523,25389015
odisha,2018,1,1594015,0
odisha,2018,2,2185781,0
